major_heading,minor_heading,text,speaker,person_id,date,current_party,matched
Justice,Duty Solicitors: England,"The hon. Lady says that she stands in solidarity with the striking barristers. I remind her that back in February, before the publication of our response to the independent review of criminal legal aid, she attended a debate on legal aid in the north-west. Every Labour MP who spoke supported a 15% increase in fees, including three Labour MPs who would subsequently go out with the RMT. They supported 15% then, as did those on the Opposition Front Bench. Do they still support 15% now? If they do, they should not be supporting the strike action when we have that offer on the table. By the way, that 15% increase includes duty solicitors. It will increase the police station scheme funding. That is why it is good news for the criminal legal aid solicitors the hon. Lady is talking about.",James Cartlidge,uk.org.publicwhip/person/25414,2022-07-05,Conservative,True
Action on Climate Change and Decarbonisation,,"I thank  the right hon. Member for Ludlow (Philip Dunne)  for his thoughtful contribution. Coming from the highlands in the far north of Scotland, I have seen with my own eyes what climate change is doing in my lifetime. As a child, I took a huge interest in butterflies and recorded every butterfly I ever saw. I did not kill them; I recorded what they were. Today, we have species of butterfly in the highlands that we never saw there in the 1950s and 1960s, including the speckled wood and  the orange tip, which are now quite common, but we are also seeing some species disappearing, particularly moths. That is because of global warming. It is there; it is real. As is my wont, I shall make three points that are connected with the needs and requirements of my constituency. In recent days and weeks, there has been quite a lot of press coverage of a suggestion that, as and when a new wind farm is built, perhaps in England somewhere, the nearby households that might be affected would be given a grant of £350 per household. In my constituency in the highlands, we already have a large number of onshore wind farms, so my first plea, which is a pretty obvious one, is that if the Government ever did consider some sort of grant like that, it should also be afforded retrospectively to homes in the highlands and other parts of the UK where there are already wind farms. My part of the highlands is one of the coldest parts of the UK—the village of Altnaharra in Sutherland always has record low temperatures—and average incomes are not large. Transport and getting about are expensive, and given the inflationary situation and the cost of living, a wind farm payment like that would help families who are struggling to make ends meet. I conclude my first point by saying that I am a great believer in the United Kingdom, and I believe that a family in the highlands, in Wales or in south-west England has the same rights as a family anywhere else. Therefore, if such payments were made, I think that in the interest of fairness, all parts of the UK should be considered, as should my suggestion about making retrospective payments. I warmly encourage all Members to come and have their holidays in the highlands, but as they drive up the A9, as James Bond did in “Skyfall”, now and again they will come across a vast articulated lorry carrying part of a turbine up to where a wind farm is being constructed. Having those lorries going through the narrow villages of Sutherland, such as Golspie, Brora and Helmsdale, and negotiating the twisting roads is a problem, both for getting parts of the turbine where they are intended to go and because it discourages the local people. My second point is an old favourite of mine. Recently, a man called Mr Frank Roach, who is a tremendous fellow for developing the use of railways, got a very large consignment of timber moved from Sutherland to markets further south on a very large train. For global warming and net zero, moving by rail makes the most enormous sense; Godspeed the day it is all electrified. My second plea, therefore, is that, where planning consent has been granted for a new wind farm, we should look quite hard at moving parts of wind turbines by rail and not by articulated lorry, consuming vast amounts of diesel as it burns its way up and down our roads. I earnestly recommend that officials in the Government contact Mr Frank Roach and talk to him, because it is really quite extraordinary the way he is getting us all in the north of Scotland thinking about the use of the railway. My third point is that offshore wind has been proved by the construction of the Beatrice wind farm off the coast of Sutherland and Caithness. It works—it really does. It generates a huge amount of electricity. But there has been sensible talk by the Government and others—it has already been referred to in the debate—about establishing floating offshore wind farms. Let me make an unashamed plug for the Cromarty Firth in my constituency, which was the great anchorage for the fleet in the first and second world wars because it is such a large and deep anchorage, safe from the weather. It is no accident that some of the mightiest oil production platforms ever built were built there. I strongly advocate to the Government that offshore floating wind systems could be constructed in the area. They could be constructed in Wales and elsewhere, too, but the main thing is that it would be nice to see them built in the United Kingdom. I hope—I realise that I am really chancing my arm—that the Government will look favourably on the bid by the Cromarty Firth to become a green freeport. In concluding, I want to make two small points. First, this debate is very much in keeping with what we all hear from young people in schools. To use a German word, it is the Zeitgeist—the spirit of the times. Young people are only too well aware of the urgent need to get to net zero. They know all about climate change, and I find that hugely encouraging. Secondly, I want to pick up on what I think  the right hon. Member for Kingswood (Chris Skidmore)  was saying, if I understood him correctly. A good number of years ago, I was a member of Ross and Cromarty District Council. We went for a courageous money spending scheme called care and repair, which was deliberately targeted at some of the coastal villages of Wester Ross—Gairloch, Applecross and places like that. We threw what was known as block B capital allocation at doing up houses. That meant that people had their homes insulated. This was quite a long time ago, but the point was that the money we spent, which was a lot, went into the local businesses—the joiners, the people who installed the solar panels, and so on. They then invested in more equipment and, in turn, bought locally. That money was pumped into the local economy of a remote rural area. That was a financial benefit that we saw in Wester Ross all those years ago. So the money that is spent is spent locally. It boosts the local economy. One could say that the Chancellor’s measures during the pandemic had the same effect; they boosted the local economy. All I am saying is that it is a mistake to think of it as being money down the drain. It is money spent in the UK, to the good of the UK, and that money is recycled, eventually supports the shops and helps to establish the businesses, which can go on to win bigger and better contracts. I will conclude my remarks with that, other than to say that it is really good to hear a debate of this quality in this place. I know it will strike a chord with my younger constituents. I intend to send a copy of the Hansard record of this debate to my secondary schools as I think they will be interested.",Jamie Stone,uk.org.publicwhip/person/25668,2022-07-05,Liberal Democrat,True
Education,Higher Education: Learning Lost to Covid-19,"I am deeply concerned about this issue, and that is because of the threat of strikes. Our students are now in a position to have face-to-face teaching, and I would urge every lecturer to reconsider taking strike action. Strikes have not helped the situation before, but they have impacted students who deserve a fairer deal.",Michelle Donelan,uk.org.publicwhip/person/25316,2021-11-01,Conservative,True
Smoking Cessation: Prescription of E-cigarettes,,"I am grateful to the right hon. Gentleman for his question. Covid has been a stark reminder that our underlying health and lifestyle determine how resilient we are to new risks and diseases. Covid did not strike evenly. People who smoked, were overweight, or struggled with chronic conditions fared worse. We are determined to level up health for a society that is not just healthier but fairer. Smoking rates are down to 13.9%—the lowest on record—but tobacco continues to account for the biggest share of avoidable premature death in this country. It contributes half the difference in life expectancy between richest and poorest. Action against smoking is therefore at the heart of our mission to level up. Our goal is for England to be smoke free by 2030. To support this goal, we have an ambitious tobacco control plan, and will soon publish a new plan with an even sharper focus on tackling health disparities. Our new Office for Health Improvement and Disparities will support this vital mission nationally and locally. Ministers from my Department have long been clear, including in this place, that we support e-cigarettes as part of a gateway process for stopping smoking. Last week, the Medicines and Healthcare Products Regulatory Agency updated its guidance on licensing as medicines e-cigarettes and other inhaled nicotine-containing products. The updated guidance sets out the steps needed to license an e-cigarette as a medicinal product, as well as quality, safety and efficacy standards. Having e-cigarettes as a licensed product will enable them to be available on prescription, which I know will give health professionals greater confidence in their use. I am happy to update the House further when we are closer to having a licensed product. We will continue to consider e-cigarettes, and indeed any other innovative ways of improving the health of our nation, so that we can end disparities and level up to a healthier and fairer country.",Maggie Throup,uk.org.publicwhip/person/25371,2021-11-01,Conservative,True
Future of the NHS,,"I beg to move, That this House has considered the future of the NHS, its staffing and funding. The national health service is a beloved national institution. Everyone in the country and in this House will have interacted with the NHS and have their own personal connections and stories that they can reflect on, from the birth of their children to the death of a loved one or seeing a general practitioner about a health condition. It is undeniable to most of us that the NHS is in crisis. It is being pushed into an avoidable and unprecedented collapse after 13 years of Conservative mismanagement. All our constituents will have been impacted in some way by the crisis, a crisis so bad that nurses have taken strike action for the first time in NHS history. Ambulance workers and other NHS staff have also taken action, and this week British Medical Association junior doctors voted with a 98% majority to do the same. I thank all my constituents who work in the NHS, particularly those who got in touch about this debate, including paramedics from the North East Ambulance Service who tell me that on a daily basis they are unable to hand over patients because of delays in A&E and lack of beds, and how frustrating it is that many of the calls are for people who need social care or cannot get a GP appointment, rather than the acute calls that they are best placed to deal with. That highlights the impact the crisis in social care is having on the NHS. Half of all people arriving in A&E by ambulance are over 65 and one third are over 75. The lack of adequate social care for basic daily needs is storing up problems and leaving older people less able to care for themselves, or arriving in hospital with preventable health problems, adding to the pressures in A&E and bed provision. People who work in the NHS have had enough of being failed by this Government’s mismanagement. The country deserves better. NHS dentistry is on its knees, with patients facing a growing crisis of access and resorting to DIY dentistry. The NHS was in crisis pre-pandemic and the Government’s failures and mismanagement have made the situation far worse. For Ministers to dismiss the crisis as winter pressures, or even to flat-out deny that there is a crisis, is frankly absurd.",Kate Osborne,uk.org.publicwhip/person/25794,2023-02-23,Labour,True
Future of the NHS,,"I absolutely agree with my right hon. Friend. The problems for our children further down the line are worrying, but of course, they are preventable if the right action is taken. The Conservatives blame everything else—the weather, the pandemic and even NHS staff—but their 13 years of failure have left the health service in crisis. At Prime Minister’s questions yesterday, the Prime Minister boasted about “record sums into the NHS…and…a clear path to getting people the treatment they need in the time they need it.”—[Official Report,  22 February  2023; Vol. 728, c. 222.] He is not living in the real world. Every briefing and communication that we have received has cited delays in treatment and the devastating impact that they have, as well as the decade of underfunding. It is hard not to agree with the British Medical Association, which called the Prime Minister “delusional”. The last Labour Governments allocated, on average, a 6% rise in the NHS budget every year. Successive Conservative and coalition Governments have since allocated a rise of only 1% a year. The Prime Minister can talk about “record sums” all he wants, but he is fooling no one. In reality, the settlement is not enough, and it is nowhere near what previous Labour Governments invested. This crisis can be laid firmly at the Government’s door. There are so many awful headlines and statistics, and I will delve into some of them, but let me say from the outset that we must all remember, when we talk about the 7 million people on waiting lists, or the 500 avoidable deaths every week, that we are talking about people. There are faces behind those statistics: the faces of women who cannot get urgent gynaecological treatment, the faces of children who cannot access mental health support, the faces of families whose loved ones have died—lives that could, should and would have been saved if this Government cared about communities and invested in our NHS. When we talk about 133,000 NHS vacancies, we are talking about people who have left their work in the NHS because they cannot cope financially or emotionally, we are talking about the rest of the workforce working harder to pick up the slack, we are talking about the NHS being unable to recruit because of poor wages and conditions, and we are talking about the impact that that has on patients. The only way to solve the NHS staffing crisis is by sorting out pay. The Government agreed yesterday to negotiate with the Royal College of Nursing, and nursing strikes have been paused for those negotiations to happen. The Government could have agreed to negotiations months ago, but they chose not to. Negotiations with the RCN alone will not solve the staffing crisis. Junior doctors have voted by 98% to strike, but the Health Secretary has not even offered a meeting. Negotiations with one section of the NHS workforce are not sufficient; all unions representing NHS staff need to be negotiated with. The Government must make a pay offer that is not linked to efficiency savings and productivity, because NHS staff are already working unacceptably long shifts. An offer—such as the one we saw on Tuesday—of 3.5%, when inflation is at least triple that and NHS workers’ pay is worth less than it was a decade ago, is, as Sharon Graham of Unite the Union said, a “sick joke”. Christina McAnea of Unison announced further strike days next month. The Government are failing to resolve this dispute; instead, they are attempting to blame workers for putting patients in danger. Patients will never forgive the Conservatives for refusing to negotiate and using patients as bargaining chips. The staffing crisis must be urgently addressed. The impact of waiting times on individuals can be severe and the consequences irreversible. Two hundred people in my Jarrow constituency have Parkinson’s disease.  Parkinson’s UK is concerned about people waiting longer than two years for a diagnosis. Similarly, the MS Society has said that more than 13,000 people have been waiting more than a year for a neurology appointment. Those delayed diagnoses and treatments have a hugely detrimental impact on the individuals concerned. Delays in cancer diagnosis and treatment are life-threatening. For years, the Government have missed cancer targets because of a lack of concerted action on matched funding. In South Tyneside and Sunderland NHS Foundation Trust, only 73% of people were treated within the target of two months following a cancer referral, and only 61% of people are treated within that target nationally. The UK is being left behind, and people are dying avoidable and preventable deaths. That is why we need a workforce strategy—yes, to pay people properly, but also to enable the NHS to save people’s lives. Labour has a workforce strategy, while the Government have not even committed to fully funding their promised workforce plan. The Chancellor praised Labour’s plan, so why does he not put his money where his mouth is by implementing it? Labour will deliver a new 10-year plan for the NHS, including one of the biggest ever expansions of its workforce.",Kate Osborne,uk.org.publicwhip/person/25794,2023-02-23,Labour,True
Future of the NHS,,"I thank the hon. Member for making—a speech. He says that this is a political issue. Does he agree, then, that his Government have failed politically by not getting around the table sooner to avert some of the strikes that we have seen up and down the country?",Florence Eshalomi,uk.org.publicwhip/person/25759,2023-02-23,Labour,True
Future of the NHS,,"I thank the hon. Lady for her intervention. How easy would it have been to go out into the media and say, “We’re asking for a 20% pay increase, by the way” —which is what happened—and then to blame the Government for not coming to the table? When the Government are called to the table on such ludicrous terms—from my point of view; everyone will have their own opinion—why should they engage? Timing is everything; they are now getting around the table and are now doing it. To answer the hon. Lady, she has condemned the Government for not doing it sooner, so I am sure she will now praise the Government for taking the time to do it. The same strikes have been announced in Wales, but what happened there? Would the hon. Lady also condemn the Welsh Government for not getting around the table and not negotiating in the right way? [Interruption.] It never happens, or it is very rare. It is easy for the Opposition to play the blame game. Where has it got them?",Rob Roberts,uk.org.publicwhip/person/25852,2023-02-23,Conservative,True
Future of the NHS,,"I want to get back to some statistics; I am sorry if I am going to bore the House, but I want to get back to some of the harsh reality. I know that subjective judgments have been made, but we cannot get away from some of the stats. I congratulate my hon. Friend  the Member for Jarrow (Kate Osborne)  on securing the debate and on an excellent speech, particularly in light of the fact that it was the Durham miners’ gala fundraising dinner last night. I come back to the some of the harsh stats because I want to deal with why we need to address the funding crisis more effectively than we are at the moment. Some of these stats have been used already but I am still shocked by this: we have 7.1 million patients on waiting lists, which is almost double the level in 2010; and the average ambulance response time for patients in category 2 is now 48 minutes, which is half an hour more than it was a short while back, with the target of 18 minutes. I have met our local ambulance drivers and paramedics, and I know that category 2 is the heart attacks and strokes. I had a heart attack about 10 years ago and I do not want to be waiting for 45 minutes, as we are talking about the difference between life and death for some of us. On A&E waiting times, the NHS target is 95% of people being seen within four hours, but the current  level is 40%. Most Members will have visited the A&E departments in their local hospitals. One of our local people described them as being like a warzone at times, given the number of injuries and scale of suffering. Members have mentioned the public satisfaction issue, but on the GP front—again, this comes just from working with local doctors—1 million people are waiting for more than a month. There are currently 4,500 fewer GPs than there were a decade ago. I understand what the Government and ex-Ministers are saying about the recruitment of more GPs, and I understand what my hon. Friends have said about a lot of that investment being from some time when the Conservative party was not in government. I have been trying to look at the repairs backlog as well, because we have been promised a new hospital at Hillingdon. I am really pleased about that because I have been campaigning for one for years. We will be getting a new hospital, eventually, but that is largely because our existing one is in such a dangerous state; we are worried about the main structure collapsing at any stage and we have had to do temporary repairs. The repairs backlog has grown by 11%, to £10.2 billion-worth of backlog. There is another figure that I have been worried about. Let me make it clear that I have been on the picket lines with nurses and in the campaigns. When talking to them on the picket lines, we get the true reality of what people are having to deal with, but I wanted to get behind the anecdotes and get to the stats. They show that one in five NHS trusts and health boards is providing food banks for staff, with a further third looking to provide them in the future. It must surely be shocking to everyone that NHS staff are having to rely on food banks —these are professionals. If we look at the underlying causes of that, we see that this is about pay. I looked at the pay of the paramedics I was talking to and I found that it has gone down by £2,400 in real terms in the past year—that comes from some TUC analysis. There are now 3,000 ambulance staff vacancies in England. I went on to look at issues associated with nurses’ pay. The average nurse’s take-home pay is more than £5,000 less in real terms than it was in 2010—again, that comes from number crunching by the TUC, but all of this is verified elsewhere as well. There are nurse shortages, with 47,000 vacancies. The most worrying thing, which has been touched on to a certain extent by others, is that one in nine nurses left the profession in the past year, which is the highest level in a year in the recorded history of the NHS. That says something about morale. We have heard that the talks are scheduled for 1 and  3 March , and I am hoping that they will resolve the current dispute. However, it is difficult to see how it can be resolved unless all the unions are engaged in those discussions. A few years ago, there was a junior doctors pay dispute. My right hon. Friend  the Member for Islington North (Jeremy Corbyn)  and I were on the picket lines and at the demonstrations for that as well. So I was looking at what has happened with the junior doctors, who are represented by the BMA. As someone has said, 98% have voted for strike action, on a turnout of 77%. I do not think we have seen those levels of turnout in recent history in these ballots for industrial action. Again, I have been trying to get behind the reason for that. BMA analysis shows that the pay of junior doctors has been cut by more than a quarter since 2008. It looks  as though we are going to have a walkout for 72 hours in March, which, obviously, will have an impact on the service. When I talk to junior doctors, they tell me that they do not know what else they can do. They are beginning to struggle to survive on the wages they are getting. In constituencies such as mine, a west London, working-class, multicultural community, most of them will never be able to get onto the housing ladder to buy a property; in fact, because of the level of rents, many will struggle even to fund the rents there. Trying to come at this question as objectively as possible, it must come back to underfunding. There is no other reason that I can see.",John Martin McDonnell,uk.org.publicwhip/person/10383,2023-02-23,Labour,True
Future of the NHS,,"I congratulate my hon. Friend  the Member for Jarrow (Kate Osborne)  on securing this important debate. The NHS is in crisis. Vacancies last September were at over 133,000, and waiting lists for routine treatments had reached over 7 million. The Government will say that this is because of covid, but that is not the case. Vacancies and waiting lists were already unacceptably high before covid; covid has made what was a terrible situation even worse. These problems, together with the fact that nurses and other dedicated NHS staff are severely overstretched without enough colleagues to  work alongside them, are the result of consistent failures by Conservative Governments to plan and provide for safe staffing levels. None of this has happened by accident. It has happened by design, because the Conservatives are intent on undermining the NHS as a comprehensive and universal public service. That has been the case for decades, and it is their drive to put business rather than patients at the heart of the NHS that has led us to where we are now. The book “NHS for Sale” by Jacky Davis, John Lister and David Wrigley sets out some of the background on what key figures in the Conservative party have thought about the NHS over the years. The book highlights how, in 1998, Oliver Letwin—at the time a future Government Minister—wrote a book called “Privatising the World: A Study of International Privatisation in Theory and Practice”, which talked of increased joint ventures between the NHS and the private sector, ultimately aiming to create a “national health insurance system separate from the tax system.” “NHS for Sale” also highlights how, in 2008, the current Chancellor of the Exchequer co-authored a book called “Direct Democracy: An Agenda for a New Model Party”, in which he said: “Our ambition should be to break down the barriers between private and public provision, in effect denationalising the provision of healthcare in Britain”. A few years later, in 2011, the then Prime Minister, David Cameron, made a speech in which he said: “From the Health Secretary, I don’t just want to know about waiting times. I want to know how we drive the NHS to be a fantastic business for Britain.” It should therefore come as no surprise that Conservative Governments have long been squeezing the supply of NHS provision and driving demand for private healthcare. There is perhaps no better evidence of this than the Health and Social Care Act 2012, which in effect allowed NHS foundation trusts to earn 49% of their income from treating private patients. Before the Bill was amended in the other place during its passage through Parliament, it set no limit on private income, demonstrating that the Conservative and Liberal Democrat coalition Government had initially planned to enable NHS foundation trusts to earn all their income from treating private patients, if they so chose. That is astonishing. Had the Conservatives and Liberal Democrats been able to go through with their initial plan, the impact on NHS patients could have been catastrophic. In 2011, the majority of NHS foundation trusts had private income caps of between 0.1% and 2%, so for Government legislation to allow 49% really does show a determination and a desire to put business rather than patients at the heart of things in the national health service. It also demonstrates the sheer ruthlessness of the Conservative party’s ambition when it comes to privatising the NHS and undermining it as a comprehensive and universal service. There have been recent reports that some NHS trusts are promoting expensive private healthcare at their hospitals, offering patients the chance to jump NHS waiting lists. That is a matter of extreme concern and will lead to a two-tier system where people who have the means to pay can get treated more quickly, while NHS patients face longer waits, often in pain and discomfort. That fundamentally undermines the NHS as a compressive   and universal service, and is not in the spirit in which the NHS was created. I have called on the Government to put an end to NHS facilities being used to provide services to private patients, and I do so again. I thank colleagues who signed my early-day motion 805 on that. In recent months, members of the Royal College of Nursing have taken strike action for the very first time in their 106-year history, as they fight for fair pay and improved patient safety. I have been proud to stand with nurses on picket lines. They have told me how stressed and burnt out they are because of staffing shortages. I know that they do not take strike action lightly. Their dedication to their patients is immense. Some have spoken about the stress they feel at shift handover times when there are not enough staff to take over, and how they end up working additional hours without pay to ensure that patients receive care. That it is only this week, after months of dispute, that the Government agreed to get round the table with the RCN speaks volumes about how little they value the NHS workforce. Earlier this week, Professor Philip Banfield, chair of the British Medical Association council, said that the Prime Minister and Health Secretary were “standing on the precipice of an historic mistake” by failing to stop national NHS strikes. I hope that the Government are listening, because this is in their hands. Professor Jeremy Farrar, the director of Wellcome and soon-to-be chief scientist at the World Health Organisation, warned that healthcare workers are “absolutely shattered”, and that “morale and resilience is very thin.” The Government need to put things right and come forward with a solution to the disputes that are fair for hard-working nurses, ambulance staff and other dedicated NHS workers. The Conservatives have left the NHS underfunded and under-resourced. They have pushed staff to the brink and left them thinking that their only option to get their message across is to go on strike. I believe that the NHS is one of this country’s greatest achievements. We know that if we become ill or have an accident, it is therefore us, free at the point of need. We must do all we can to oppose privatisation and fight for the NHS as a comprehensive, universal, publicly owned and publicly run service, free for each and every one of us whenever we need it.",Margaret Greenwood,uk.org.publicwhip/person/25349,2023-02-23,Labour,True
