date,newspaper_ideo,POSITIVE,NEGATIVE
2021-11-01,Centre,0,1
2021-11-01,Left-wing,0,1
2021-11-01,Right-wing,1,3
2021-11-02,Centre,0,1
2021-11-02,Left-wing,1,0
2021-11-02,Right-wing,0,4
2021-11-03,Centre,0,1
2021-11-03,Left-wing,0,0
2021-11-03,Right-wing,0,2
2021-11-04,Centre,1,1
2021-11-04,Left-wing,0,3
2021-11-04,Right-wing,0,1
2021-11-05,Centre,0,1
2021-11-05,Left-wing,1,2
2021-11-05,Right-wing,0,2
2021-11-06,Centre,0,0
2021-11-06,Left-wing,0,0
2021-11-06,Right-wing,0,4
2021-11-07,Centre,0,0
2021-11-07,Left-wing,1,0
2021-11-07,Right-wing,0,0
2021-11-08,Centre,0,0
2021-11-08,Left-wing,0,0
2021-11-08,Right-wing,0,0
2021-11-09,Centre,0,1
2021-11-09,Left-wing,0,2
2021-11-09,Right-wing,1,4
2021-11-10,Centre,1,3
2021-11-10,Left-wing,1,1
2021-11-10,Right-wing,0,2
2021-11-11,Centre,0,0
2021-11-11,Left-wing,0,1
2021-11-11,Right-wing,2,0
2021-11-12,Centre,0,2
2021-11-12,Left-wing,0,1
2021-11-12,Right-wing,1,4
2021-11-13,Centre,0,0
2021-11-13,Left-wing,0,0
2021-11-13,Right-wing,1,2
2021-11-14,Centre,0,0
2021-11-14,Left-wing,1,1
2021-11-14,Right-wing,2,0
2021-11-15,Centre,0,0
2021-11-15,Left-wing,0,0
2021-11-15,Right-wing,0,1
2021-11-16,Centre,0,1
2021-11-16,Left-wing,2,2
2021-11-16,Right-wing,0,1
2021-11-17,Centre,0,0
2021-11-17,Left-wing,0,1
2021-11-17,Right-wing,0,3
2021-11-18,Centre,1,0
2021-11-18,Left-wing,0,0
2021-11-18,Right-wing,0,1
2021-11-19,Centre,0,0
2021-11-19,Left-wing,0,0
2021-11-19,Right-wing,2,2
2021-11-20,Centre,0,0
2021-11-20,Left-wing,0,0
2021-11-20,Right-wing,1,3
2021-11-21,Centre,0,0
2021-11-21,Left-wing,0,0
2021-11-21,Right-wing,1,0
2021-11-22,Centre,0,2
2021-11-22,Left-wing,1,1
2021-11-22,Right-wing,0,3
2021-11-23,Centre,0,1
2021-11-23,Left-wing,1,0
2021-11-23,Right-wing,1,1
2021-11-24,Centre,0,0
2021-11-24,Left-wing,0,0
2021-11-24,Right-wing,0,0
2021-11-25,Centre,0,0
2021-11-25,Left-wing,1,2
2021-11-25,Right-wing,0,0
2021-11-26,Centre,0,0
2021-11-26,Left-wing,0,0
2021-11-26,Right-wing,1,0
2021-11-27,Centre,2,0
2021-11-27,Left-wing,1,1
2021-11-27,Right-wing,1,0
2021-11-28,Centre,0,0
2021-11-28,Left-wing,0,0
