published_date,newspaper_line,NEGATIVE,POSITIVE
2021-11-01,Daily Mail and Mail on Sunday,0,0
2021-11-01,Daily Mirror,0,0
2021-11-01,Metro,1,0
2021-11-01,The Daily Telegraph,0,0
2021-11-01,The Guardian,1,0
2021-11-01,The Independent,0,0
2021-11-01,The Sun,1,1
2021-11-01,The Times and The Sunday Times,2,0
2021-11-02,Daily Mail and Mail on Sunday,2,0
2021-11-02,Daily Mirror,0,0
2021-11-02,Metro,1,0
2021-11-02,The Daily Telegraph,1,0
2021-11-02,The Guardian,0,1
2021-11-02,The Independent,0,0
2021-11-02,The Sun,0,0
2021-11-02,The Times and The Sunday Times,1,0
2021-11-03,Daily Mail and Mail on Sunday,1,0
2021-11-03,Daily Mirror,0,0
2021-11-03,Metro,1,0
2021-11-03,The Daily Telegraph,0,0
2021-11-03,The Guardian,0,0
2021-11-03,The Independent,0,0
2021-11-03,The Sun,0,0
2021-11-03,The Times and The Sunday Times,1,0
2021-11-04,Daily Mail and Mail on Sunday,0,0
2021-11-04,Daily Mirror,0,0
2021-11-04,Metro,1,1
2021-11-04,The Daily Telegraph,0,0
2021-11-04,The Guardian,3,0
2021-11-04,The Independent,0,0
2021-11-04,The Sun,0,0
2021-11-04,The Times and The Sunday Times,1,0
2021-11-05,Daily Mail and Mail on Sunday,0,0
2021-11-05,Daily Mirror,1,0
2021-11-05,Metro,1,0
2021-11-05,The Daily Telegraph,0,0
2021-11-05,The Guardian,1,1
2021-11-05,The Independent,0,0
2021-11-05,The Sun,1,0
2021-11-05,The Times and The Sunday Times,1,0
2021-11-06,Daily Mail and Mail on Sunday,0,0
2021-11-06,Daily Mirror,0,0
2021-11-06,Metro,0,0
2021-11-06,The Daily Telegraph,3,0
2021-11-06,The Guardian,0,0
2021-11-06,The Independent,0,0
2021-11-06,The Sun,0,0
2021-11-06,The Times and The Sunday Times,1,0
2021-11-07,Daily Mail and Mail on Sunday,0,0
2021-11-07,Daily Mirror,0,1
2021-11-07,Metro,0,0
2021-11-07,The Daily Telegraph,0,0
2021-11-07,The Guardian,0,0
2021-11-07,The Independent,0,0
2021-11-07,The Sun,0,0
2021-11-07,The Times and The Sunday Times,0,0
2021-11-08,Daily Mail and Mail on Sunday,0,0
2021-11-08,Daily Mirror,0,0
2021-11-08,Metro,0,0
2021-11-08,The Daily Telegraph,0,0
2021-11-08,The Guardian,0,0
2021-11-08,The Independent,0,0
