date,NEGATIVE_Centre,NEGATIVE_Left-wing,NEGATIVE_Right-wing,POSITIVE_Centre,POSITIVE_Left-wing,POSITIVE_Right-wing,NEGATIVE_Centre_parties,NEGATIVE_Conservative,NEGATIVE_Labour,POSITIVE_Centre_parties,POSITIVE_Conservative,POSITIVE_Labour
2021-11-01,1,1,3,0,0,1,0,1,0,0,1,0
2021-11-02,1,0,4,0,1,0,0,0,0,0,1,0
2021-11-03,1,0,2,0,0,0,2,0,0,2,2,0
2021-11-04,1,3,1,1,0,0,0,0,0,0,1,0
2021-11-05,1,2,2,0,1,0,0,0,0,0,0,0
2021-11-06,0,0,4,0,0,0,0,0,0,0,0,0
2021-11-07,0,0,0,0,1,0,0,0,0,0,0,0
2021-11-08,0,0,0,0,0,0,0,0,1,0,1,0
2021-11-09,1,2,4,0,0,1,0,0,2,1,0,0
2021-11-10,3,1,2,1,1,0,0,0,0,0,0,0
2021-11-11,0,1,0,0,0,2,0,0,0,0,0,0
2021-11-12,2,1,4,0,0,1,0,0,0,0,0,0
2021-11-13,0,0,2,0,0,1,0,0,0,0,0,0
2021-11-14,0,1,0,0,1,2,0,0,0,0,0,0
2021-11-15,0,0,1,0,0,0,0,0,1,0,3,0
2021-11-16,1,2,1,0,2,0,0,0,0,0,1,0
2021-11-17,0,1,3,0,0,0,0,0,0,0,0,0
2021-11-18,0,0,1,1,0,0,0,0,0,0,2,0
2021-11-19,0,0,2,0,0,2,0,0,0,0,0,0
2021-11-20,0,0,3,0,0,1,0,0,0,0,0,0
2021-11-21,0,0,0,0,0,1,0,0,0,0,0,0
2021-11-22,2,1,3,0,1,0,0,0,0,0,2,0
2021-11-23,1,0,1,0,1,1,0,0,0,1,1,0
2021-11-24,0,0,0,0,0,0,0,0,0,0,1,1
2021-11-25,0,2,0,0,1,0,0,1,0,0,1,0
2021-11-26,0,0,0,0,0,1,0,0,0,0,0,0
2021-11-27,0,1,0,2,1,1,0,0,0,0,0,0
2021-11-28,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-29,0,0,0,0,1,0,0,0,0,0,2,0
2021-11-30,0,1,0,0,0,0,0,0,1,0,0,0
2021-12-01,1,2,1,0,1,0,1,0,0,0,0,2
2021-12-02,1,1,2,1,1,1,0,0,0,0,1,0
2021-12-03,1,0,2,0,1,2,0,0,1,0,0,0
2021-12-04,1,1,1,0,0,2,0,0,0,0,0,0
2021-12-05,0,0,0,0,0,2,0,0,0,0,0,0
2021-12-06,0,1,4,0,1,0,0,0,1,0,0,1
