x_variable,y_variable,pvalue
L1.NEGATIVE_Centre,NEGATIVE_Centre,9.684720517062387e-17
L1.NEGATIVE_Left-wing,NEGATIVE_Centre,0.027881160832293018
L1.NEGATIVE_Centre_parties,NEGATIVE_Centre,0.02553184114686374
L1.POSITIVE_Centre_parties,NEGATIVE_Centre,1.189323359309731e-05
L1.POSITIVE_Labour,NEGATIVE_Centre,0.00014367726429715847
L2.NEGATIVE_Centre,NEGATIVE_Centre,8.106751036695917e-09
L2.NEGATIVE_Centre_parties,NEGATIVE_Centre,0.0006306031373795021
L2.POSITIVE_Centre_parties,NEGATIVE_Centre,0.02244996106710088
L2.POSITIVE_Conservative,NEGATIVE_Centre,0.014573711265467906
L3.NEGATIVE_Centre,NEGATIVE_Centre,3.697527240239392e-05
L3.NEGATIVE_Centre_parties,NEGATIVE_Centre,0.035403645561385214
L4.NEGATIVE_Centre,NEGATIVE_Centre,2.3656981193028277e-05
L4.NEGATIVE_Right-wing,NEGATIVE_Centre,0.008828845507079772
L4.NEGATIVE_Centre_parties,NEGATIVE_Centre,0.0074161080331837295
L4.NEGATIVE_Conservative,NEGATIVE_Centre,0.04647677897909545
L5.NEGATIVE_Centre,NEGATIVE_Centre,0.000239807182252355
L5.NEGATIVE_Right-wing,NEGATIVE_Centre,0.0003853056854336011
L5.NEGATIVE_Conservative,NEGATIVE_Centre,0.0008929507050380243
L6.NEGATIVE_Centre,NEGATIVE_Centre,0.0041760569570298
L6.NEGATIVE_Right-wing,NEGATIVE_Centre,0.002614473401667719
L6.NEGATIVE_Centre_parties,NEGATIVE_Centre,0.041476460865631996
L7.NEGATIVE_Right-wing,NEGATIVE_Centre,0.026372251548874386
L1.NEGATIVE_Centre,NEGATIVE_Left-wing,2.1880477837913544e-06
L1.NEGATIVE_Left-wing,NEGATIVE_Left-wing,1.76163019666704e-37
L1.NEGATIVE_Right-wing,NEGATIVE_Left-wing,0.04172916713271208
L1.POSITIVE_Centre,NEGATIVE_Left-wing,0.032893457643641134
L2.NEGATIVE_Centre,NEGATIVE_Left-wing,0.005879973123470534
L2.NEGATIVE_Left-wing,NEGATIVE_Left-wing,1.8130413339600804e-20
L2.NEGATIVE_Right-wing,NEGATIVE_Left-wing,0.003569542102632785
L2.POSITIVE_Centre,NEGATIVE_Left-wing,0.007719599136062846
L2.NEGATIVE_Centre_parties,NEGATIVE_Left-wing,0.039645631666434096
L3.NEGATIVE_Centre,NEGATIVE_Left-wing,0.001875373283296946
