x_variable,y_variable,pvalue
L1.POSITIVE_Right-wing,NEGATIVE_Left-wing,0.04730086359181806
L2.POSITIVE_Centre_parties,NEGATIVE_Right-wing,0.025167116715112167
L2.POSITIVE_Labour,NEGATIVE_Right-wing,0.00368108244439514
L1.NEGATIVE_Centre,POSITIVE_Centre,0.03660353941043819
L1.NEGATIVE_Right-wing,POSITIVE_Centre,0.005109495421492444
L1.NEGATIVE_Conservative,POSITIVE_Centre,0.0012871729629713047
L2.NEGATIVE_Centre,POSITIVE_Centre,0.047291177341714036
L2.POSITIVE_Right-wing,POSITIVE_Centre,0.005712437922275232
L2.NEGATIVE_Conservative,POSITIVE_Centre,0.013213762126171409
L2.POSITIVE_Conservative,POSITIVE_Centre,0.030552198595533916
L3.POSITIVE_Centre,POSITIVE_Centre,0.013223412165580548
L1.POSITIVE_Left-wing,POSITIVE_Left-wing,0.014773319571836413
L2.NEGATIVE_Left-wing,POSITIVE_Left-wing,0.034506020809687316
L2.POSITIVE_Left-wing,POSITIVE_Left-wing,0.0047331468272501145
L3.NEGATIVE_Left-wing,POSITIVE_Left-wing,0.04720454716220861
L3.NEGATIVE_Right-wing,POSITIVE_Left-wing,0.005743581510074399
L3.POSITIVE_Right-wing,POSITIVE_Left-wing,0.033080245184926346
L1.POSITIVE_Left-wing,POSITIVE_Right-wing,0.026497247254430686
L1.POSITIVE_Right-wing,POSITIVE_Right-wing,0.004145520717107703
L2.POSITIVE_Right-wing,POSITIVE_Right-wing,0.01740409466992466
L3.NEGATIVE_Left-wing,POSITIVE_Right-wing,0.04913607352803546
L1.NEGATIVE_Left-wing,NEGATIVE_Centre_parties,0.017573686717030277
L1.POSITIVE_Conservative,NEGATIVE_Centre_parties,0.031063405051086145
L1.NEGATIVE_Conservative,NEGATIVE_Conservative,0.01965505924185526
L2.NEGATIVE_Conservative,NEGATIVE_Conservative,0.03914556819258357
L1.NEGATIVE_Left-wing,NEGATIVE_Labour,0.007089594754941853
L1.NEGATIVE_Labour,NEGATIVE_Labour,0.04079720484660514
L1.NEGATIVE_Left-wing,POSITIVE_Centre_parties,0.03583508407039972
L1.NEGATIVE_Conservative,POSITIVE_Centre_parties,0.022402339546807617
L1.POSITIVE_Conservative,POSITIVE_Centre_parties,0.003063814842337866
L2.NEGATIVE_Conservative,POSITIVE_Centre_parties,0.018329931020678918
L1.NEGATIVE_Left-wing,POSITIVE_Conservative,0.012725039082021121
L1.NEGATIVE_Left-wing,POSITIVE_Labour,0.012071168267671155
L1.NEGATIVE_Conservative,POSITIVE_Labour,0.031877172394879964
L1.POSITIVE_Conservative,POSITIVE_Labour,0.012180932253966114
